[voice_common]
voice_total=811

//■パートナーめいりん■
voice_801=mei_A001.ogg,//はいよーっ！
voice_803=mei_A003.ogg,//どりゃーっ！
voice_805=mei_A005.ogg,//せいやーっ！
voice_807=mei_A007.ogg,//はっ！
voice_808=mei_A007_B.ogg,//はっ！↑
voice_809=mei_A009.ogg,//てやっ！
voice_810=mei_A009_B.ogg,//えいやっ！

//■パートナーぱちゅりー■
voice_601=pad_A001.ogg,//賢者の石・・・！
voice_603=pad_A003.ogg,//はっ！
voice_605=pad_A005.ogg,//えいっ！
voice_607=pad_A007.ogg,//フッ！
voice_609=pad_A009.ogg,//ちょっと疲れた・・・

//■パートナーありす■
voice_733=ali_A033.ogg,//お人形はいかがかしら？
voice_735=ali_A035.ogg,//突撃っ！
voice_737=ali_A037.ogg,//踊りましょう？
voice_739=ali_A039.ogg,//くらえっ！
voice_741=ali_A041.ogg,//はっ！
voice_743=ali_A043.ogg,//てい！

//■パートナーれいむ■
//通常攻撃
voice_123=rei_A018.ogg,//はいはい
voice_124=rei_A019.ogg,//わかってるわよ
voice_125=rei_A020_B.ogg,//これでいいかしら？
voice_126=rei_A021.ogg,//フッ！
//voice_127=rei_A022.ogg,//チッ！
voice_128=rei_A006_C.ogg,//はあっ！
voice_129=rei_A008_B.ogg,//やーっ！
voice_130=rei_A009_B.ogg,//ツェアァッ！

//■パートナー妹様■
voice_501=fla_A001.ogg,//どかーん！
voice_503=fla_A003_B.ogg,//熱いよーっ！
voice_505=fla_A005.ogg,//アハハハハハハ！
voice_506=fla_A005_B.ogg,//アハハハハハハ！(ちょい悪)
voice_507=fla_A007.ogg,//でやーっ！
voice_509=fla_A009.ogg,//どりゃーっ！

//■パートナーれみりあ■
voice_459=rem_A059.ogg,//フフフ
voice_461=rem_A061.ogg,//任せなさい
voice_463=rem_A063.ogg,//やきつくしてあげる
voice_424=rem_A023_B.ogg,//ウッフフフ！！ンフフ
voice_433=rem_A033_C.ogg,//貫け！
voice_436=rem_A036.ogg,//グングニル！！

[voice_0]
voice_total=1746
//■ゆかり■
voice_1701=yuk_A001.ogg,//ウッ
voice_1702=yuk_A001_B.ogg,//ンッ
voice_1703=yuk_A003.ogg,//きゃっ
voice_1705=yuk_A005.ogg,//んあっ！
voice_1706=yuk_A005_B.ogg,//あっ
voice_1707=yuk_A007.ogg,//ンンッ！！
voice_1709=yuk_A009.ogg,//ぬッ・・！
//通常攻撃
voice_1711=yuk_A011_B.ogg,//シッ
voice_1713=yuk_A013_C.ogg,//フッ
voice_1715=yuk_A015_C.ogg,//はっ！
voice_1717=yuk_A017_C.ogg,//行け！
voice_1718=yuk_A017_D.ogg,//それっ
//チャージ
voice_1719=yuk_A019_B.ogg,//フフフ・・・いい顔になってきたわよ
voice_1720=yuk_A019_B.ogg,//フフフ・・・いい顔になってきたわよ
voice_1721=yuk_A021_C.ogg,//そう・・・もっと激しく！
voice_1723=yuk_A023_B.ogg,//楽しいのはこれからよ？
//必殺
voice_1725=yuk_A025.ogg,//ハハハハハハ！
voice_1727=yuk_A027.ogg,//ゾクゾクするでしょ？
voice_1729=yuk_A029.ogg,//この子も遊びたがってるわ
//やられ
voice_1731=yuk_A031_B.ogg,//きゃぁぁ！
//召喚
voice_1743=yuk_A043_B.ogg,//藍（らん）、出番よ
voice_1745=yuk_A045_B.ogg,//さあ、行ってらっしゃい(チェン)

//■サブウェポン用ちぇん■

voice_1312=che_A011_B.ogg,//えいやーーっ

voice_1318=che_A017_B.ogg,//とーーうっ！

voice_1319=che_A019.ogg,//いくよーっ！！

//■サブウェポン用らん■

voice_1517=ran_A006_C.ogg,//ハッ！(軽)

voice_1509=ran_A009_D.ogg,//食らえ

voice_1510=ran_A010.ogg,//はぁぁぁぁ！

[voice_1]
voice_total=732

//■アリス■
//ダメージ
voice_701=ali_A001.ogg,//うっ！
voice_703=ali_A003.ogg,//くぅ！
voice_705=ali_A005.ogg,//うわっ！
voice_707=ali_A007.ogg,//あうっ！
voice_709=ali_A009.ogg,//きゃっ！
//通常攻撃
voice_711=ali_A011.ogg,//えいっ
voice_713=ali_A013.ogg,//はっ！
voice_714=ali_A013_B.ogg,//はあっ！
voice_715=ali_A015.ogg,//やっ！
voice_718=ali_A017_B.ogg,//とうっ！2
//チャージ
voice_719=ali_A019.ogg,//はぁぁぁぁっ！
voice_721=ali_A021.ogg,//人形たちよ・・・(熱)
